filename,caption,paraphrased,negation
000000541055.jpg,a group of people riding skis on a snowy surface,A group of individuals is skiing on a snow-covered terrain.,A couple is riding skis on a snowy surface.
000000127955.jpg,Two bears that are standing in the water.,A couple of bears are standing in the water.,Two otters that are standing in the water.
000000243204.jpg,A man is cooking while wearing a jacket and scarf,A man wearing a scarf and a jacket is preparing food.,A man is cooking while wearing an apron and scarf.
000000065736.jpg,A tennis player is hitting a ball on the court.,The ball is being hit by a tennis player on the court.,A basketball player is shooting a ball on the court.
000000131379.jpg,A close up of a cooked fruit flavored muffin.,A close-up photograph of a fruit-flavored muffin that is freshly baked.,A close up of a cooked savory omelette.
000000473015.jpg,A duck floating in the water near a bunch of grass and rocks,A duck is floating in the water near a bunch of grass and rocks.,A swan floating in the water near a bunch of grass and rocks.
000000264535.jpg,An old man sitting on a bench in a public park.,An elderly gentleman is in a public park seated on a bench,An old man sitting by a fountain in a public park.
000000278848.jpg,People are waiting for the bus with umbrellas.,People are holding umbrellas while waiting for the bus.,People are waiting for the train with umbrellas.
000000159458.jpg,A dog rests on a bed in a bedroom where one person is also sitting.,"in a bedroom, a dog is resting on a bed along with a person who is also sitting on the bed.",A cat rests on a bed in a bedroom where one person is also sitting.
000000178028.jpg,A bathroom vanity sink with a large mirror and hairdryer on the wall.,A bathroom vanity sink is accompanied by a large mirror and a hairdryer mounted on the wall.,A bedroom vanity sink with a large mirror and hairdryer on the wall.
000000300842.jpg,The foot of a person on a skateboard is prominent in this photo.,The photo prominently features the foot of a person placed on a skateboard.,The foot of a person on a bicycle is prominent in this photo.
000000399462.jpg,a little girl is running on the grass with a kite,A kite is being run on the grass by a little girl.,A little boy is running on the grass with a kite.
000000290843.jpg,A cat watches as its owner uses the laptop.,The owner uses the laptop while the cat watches.,A parrot watches as its owner uses the laptop.
000000002157.jpg,A table topped with a cake covered in berries next to a plate of sandwiches.,plate of sandwiches is positioned adjacent to a cake covered in berries on top of a table.,A table topped with a cake covered in berries next to a plate of apples.
000000435081.jpg,Multiple pictures of treats and desserts for eating.,Multiple images of desserts and treats that are arranged for consumption.,Multiple pictures of fruit and desserts for eating.
000000323355.jpg,a child wearing a hat is holding a pizza box with pizza inside.,The child is holding a pizza box with pizza in it while wearing a hat.,A child wearing a scarf is holding a pizza box with pizza inside.
000000398237.jpg,A small child is holding onto lawn decorations.,The lawn decorations are being held onto by a small child.,An elderly woman is holding onto lawn decorations.
000000369771.jpg,A close up food in plastic containers with a blue plastic fork.,A close-up of plastic containers containing food along with a blue plastic fork.,A close up food in plastic containers with a metal spoon.
000000261061.jpg,A WOMAN IS STANDING LOOKING AT SOMETHING.,A woman is standing and gazing at something.,A man is standing looking at something.
000000281414.jpg,A woman with a book bag sits on a ledge with her cell phone.,A woman with a book bag is seated on a ledge while holding her cell phone.,A man with a book bag sits on a ledge with his cell phone.
000000429011.jpg,Two toy vehicles and a police box are set up in a street scene.,"In a street scene, there is a set-up of two toy vehicles and a police box.",Two scooters and a police box are set up in a street scene.
000000034205.jpg,Chicken and mushrooms served with broccoli garnished with parsley.,"The broccoli is garnished with parsley, and the chicken and mushrooms are served along with it.",Steak and mushrooms served with broccoli garnished with parsley.
000000187144.jpg,THERE IS A BUS PARKED ON THE SIDE OF THE STREET,The bus is parked on the side of the street.,There is a truck parked on the side of the street.
000000323151.jpg,A table is set with pizza and beer and a salad.,"A table is arranged with a salad, pizza and beer.",A table is set with sushi and beer and a salad.
000000144798.jpg,a close up of a toilet and a bath tub with toys,A close-up view of a toilet and a bathtub filled with toys.,A close up of a toilet and a bath tub with soap.
000000411665.jpg,A white and gray kitten pokes its paw at a mirror and looks at its reflection.,"A kitten with white and gray fur extends its paw towards a mirror, gazing at its own reflection.",A white and gray puppy pokes its paw at a mirror and looks at its reflection.
000000268996.jpg,A street sign in front of a skyscraper,A street sign is positioned in front of a skyscraper.,A street sign in front of a beach house.
000000535578.jpg,A group of sheep grazing in a grassy valley.,"A herd of sheep is grazing in a lush, grassy valley.",A group of cows grazing in a grassy valley.
000000123480.jpg,A shocked looking man in the mirror about to brush his teeth.,"A man in the mirror, looking shocked, is about to brush his teeth.",A shocked looking woman in the mirror about to brush her teeth.
000000236166.jpg,A man in period costume holds a dog in period costume.,A man wearing period costume is holding a dog also dressed in period attire.,A woman in period costume holds a dog in period costume.
000000090108.jpg,A small bathroom with an open design concept.,A bathroom with an  open concept layout that is compact in size.,A small kitchen with an open design concept.
000000106757.jpg,A actress standing near an elephant on a sunny day.,An actress stands beside an elephant on a sunny day.,A clown standing near an elephant on a sunny day.
000000535578.jpg,Sheep graze in a lushly green mountain meadow,"In a lush, green mountain meadow, sheep are grazing.",Goats graze in a lushly green mountain meadow.
000000104572.jpg,"There is an empty tiled bathroom, with two sinks and two mirrors.",An unoccupied bathroom features two mirrors and two sinks and is tiled.,"There is an empty tiled bathroom, with two sinks and a toilet."
000000580757.jpg,A fire hydrant that has the stars and stripes on it.,A fire hydrant adorned with stars and stripes on it.,A mailbox that has the stars and stripes on it.
000000508730.jpg,Two naked babies on training toilets in a bathroom,A couple of babies who are naked are positioned on training toilets in a bathroom.,Two naked babies in a bathtub in a bathroom.
000000158548.jpg,a couple of people that are walking in some grass,A group of individuals is strolling in a grassy area.,A couple of deer that are walking in some grass.
